,sentiment,processed_words,prediction_nb
cv394_5137.txt,pos,defend life imagin vision afterlif twist mind writerdirector albert brook star comedi die car crash birthday day brook wake up judgement citi satir rendit purgatori higher evalu live newli deceas earthl brook five day convinc two judg hes worthi pass higher plain exist enter rip torn slick lawyer defend brook court against prosecutor lee grant dure trial brook view episod life movi screen scene both hyster funni pain poignant imposs resist chuckl cring brook torn tri explain away coward behavior earth torn particular vintag comic form walk away pictur movi featur meryl streep appeal loveinterest shirley maclain pop up hilari cameo film uneven mani gag price less take exampl food judgement citi alway delici youv tast caloriefreeso chow down,pos
cv460_10842.txt,pos,deep rise one those movi kind movi serv purpos except entertain ask think import question life planet possibl god screw bold see comput generat monster rip decapit general caus irrepar booboo bunch littl known actor heh wacki monster gotta love em cours rent thousand movi same kind stori hollywood give littl extra oumph peopl theater deep rise fail good thing confus explain despit flashi effect big explos deep rise still heart good ol movi luckili veri good movi worst clich movi histori movi bread butter therefor thing destroy serious movi actual help good time watch movi lower calibr cours know big slimi creatur behind door one person wander pick monster alway know person person make out aliv dont know horribl went see deep rise expect low toler bad dialogu high imagin surpris discov deep rise actual well pretti darn funni time funni movi well new flick suppos make laugh except few unintend laugh onc befor know treat william wes studi famk jansen appear big screen hey know guy gal coupl movi cool familiar face far good man treat hero hell live wes stapl movi token victim know hell buy farm take few creep way out famk babe nuff guy glass guy glass alway die black person movi buff know black guy alway die never fail veri funni nerdi guy ah comic relief possibl explain kill live first fifteen minut felt right home know root need boo gum chew pleas kill suffic next hour half jump out seat few time went ewwww dozen time near orgasm over explos firepow hero pack im man nottic thing id recommend deep rise look good time care leav brain door bring sens humor excit act decent effect top rate best describ put togeth jet ski scene hard rain bug attack starship trooper coupl jame bond stunt those scene friday thirteenth freddi keep scream dont go hes behind end up deep rise creepi crawli good tight tshirt major firepow need go bathroom fifteen minut se water,neg
cv286_25050.txt,pos,accord hollywood movi made last few decad life small town one worst thing happen human even wors fate await those unfortun grow up those dark godforsaken place later forc live forev traumatis experi hand seem someth more atlant ocean divid europ america one popular belov european film take exact opposit view film amarcord comedi famous italian director federico fellini later gave inspir numer imit homag even led few american screen artist adopt heret view benefit small town life film base screenplay fellini tonino guerra lack plot usual sens instead follow one year italian summer resort town rimini through seri short vignett depict various local event custom well seri local veri colour charact although mani those charact occasion take role narrat movi concentr nomin protagonist year old boy titta play bruno zanin chronicl sexual frustrat obsess local beauti queen name gradisca play magali noel problem love dysfunct famili well troubl father play armando brancia mussolini fascist regim amarcord note ultim nostalgia film probabl explain veri popular even those peopl actual dont federico fellini work veri much member potenti audienc find part himself herself film fellini film clear illustr natur human desir paint past best way possibl distort between actual past subject interpret found even titl film word amarcord noth more bad pronounc phrase rememb local italian dialect same way word distort past memori those rememb premier fellini reject claim autobiograph charact film doesnt matter whether rimini amarcord actual resembl rimini fellini childhood place time resembl charact situat film fellini view nostalgia clear illustr way mix realiti fantasi film even naturalist scene lace dark humour grotesqu imag charact look caricatur actor play deliber overact women especi those fuel titta sexual fantasi certain bodi part gargantuan proport now scene depict realiti gradual slide fantasi movi charact rimini becom indistinguish magic place charact vision everyth film look differ case better look real life even fascism fellinian makeov fellini view mussolini totalitarian regim noth more visual spectacl explain similar regim enjoy such popular support throughout histori opportun comedi fascist final show true colour begin tortur oppon even becom opportun scene macabr humour unlik mani italian colleagu use period set explicit condemn fascism serv fashion polit agenda fellini doesnt care much polit lack selfright moral perspect compens fellini humanist approach charact each regardless age gender social class physic appear given opportun express view dream fear fellini treat those charact warmth affect even paint grotesqu caricatur real peopl warmth democrat spirit amarcord view one human film th centuri keep general feel good atmospher despit depict mani uncomfort melanchol even tragic moment fellini couldnt produc such effect without use directori talent gave veri person touch movi vignett arent memor charact fellini use camera paint film bright colour especi scene depict charact fantasi fellini know use locat whether such locat happen luxuri hotel brightcolour beach rural countrysid even downtoearth street rimini everyon know everyon magic dimens dure snowfal hand lack credibl special effect somewhat diminish same effect dure ocean liner scene atmospher provid incred talent compos fellini longtim associ nino rota amarcord theme probabl one recognis popular relax uplift piec film music produc music alon reason view amarcord one indisput classic seventh art,pos
cv334_10001.txt,pos,boom introduct music finish camera sweep over red mountain see two figur look over barren veri red landscap kiss walk one charact schwarzenegg slip fall glass mask crack face scruch up eye begin pop doug quaid play schwarzenegg wake up dream wake up next beauti wife play stone film begin total recal typic scifi film wrap around intrest far fetch plot quaid never mar keep dream planet now colanis one day ride train hes see ad compani call rekal implant memori holiday instead actual go yourself quaid choos secret agent mar memori realli hit fan implant goe wrong quaid realli think agent mar two minut until goe back normal cant rememb thing everyon know workmat wife turn against blab mar blew cover mission strang man call richter play ironsid kill quaid now hopeless confus follow advic given friend ass mar mar rule cohagen play cox charg peopl air against rebel main mutant rebel need quaid defeat cohagen quaid know cant rememb reactor produc air eventu quaid kill cohagen turn reactor save planet goe away beauti girl guy rekal promis throughout plot huge explos thousand death mean lot death swear sex everyth make good verhoeven director basic instinct starship trooper movi natur pretti imagin death arm rip someon drill head explod tell violent stuff done stylish cours arni tone down one liner excus act variabl arni cours useless goe good line first twenti minut even act normal bloke action hero stone cours useless make pretti poor wife pretti poor action hero sex scene alright ticoton recent seen con air again ok good action emot wrong one minut hate quaid next love never tranisit right good guy aw bad guy excel cox basic repris robocop hes still great deliv best line whole film near end ironsid superbl evil utter emotionless face support cast fine even comedi sidekick time form taxi driver annoy one disappoint aspect though special effect ilm dreamquest good work such subway station scene model work good model head look appal fake quatto major disappoint anoth irrit thing product placement lot plug good mar today gag set look great special effect end film arent bad good soundtrack run through jerri goldsmith omen poltergeist star trek motion pictur overal total recal huge violent huge enjoy action fest reason plot thrown great bad guy imaganit death schwarzenegg movi bad fact veri good,neg
cv196_29027.txt,pos,jay silent bob strike back kevin smith swan song two famous charact best receiv comedi ive seen someth mari tea parti comparison foulmouth humor jay silent bob strike back audienc didnt laugh went wild boister laughter heavi applaus throughout short realli raunchi humor find funniest movi year hand one those walk out disgust smith dogma jay silent bob strike back movi one fastest pace movi year stori jay silent bob jason mew kevin smith pair card carri drug dealer travel new jersey conveni store home hollywood stop movi seem comic book alter ego bluntman chronic use movi without jay silent bob consent jason bigg jame van der beek slate star jay silent bob strike back more better use cameo movi ive seen includ carri fisher bibletot nun mark hamil comic book version famous alter ego gus van sant director busi count money yell action best ben affleck matt damon mock themselv movi film stop sever time make fun itself audienc stupid enough buy ticket movi actual purchas ticket film extrem smart given deliv more laughter per dollar anyth recent memori film even skewer peopl write movi internet guilti although fill insid joke youll still laugh even easi understand enough still funni jay motor mouth hasnt met subject couldnt vulgar favorit topic oral sex equal opportun profan hes make crude joke absolut anyth buddi apt name silent bob respons movi success reaction shot wild exagger eye movement comed gem stori main subplot concern four anim right activist justic shannon elizabeth three sexi buddi sissi eliza dushku missi jennif schwalbach smith chrissi ali larter char angel type give ride hero trek lalaland stop pictur jay tri put move justic doesnt stay command situat long one funnier sight gag women use pink clamshap birth control case contain high tech gadgetri grant movi everyon kevin smith brand humor youll find best earlier funniest movi year thus far wait forget thus far bound funniest movi year time movi feel oblig come pg rake maximum cash great see filmmak gut target matur audienc jay silent bob strike back run lighten fast rate contain pervas crude humor languag sexual situat accept high school senior older film open nationwid unit state wednesday august silicon valley show amc centuri theater,pos
cv857_15958.txt,pos,look movi necessarili perfect sometim movi such strong idea despit whatev flaw prefer bettermad film thoughtprovok thin red line flaw provok terenc malick return filmmak year day heaven produc medit look war unlik year save privat ryan dwell war necessari evil explor moral ambigu thereof thin red line simpli war wast seem obvious experienc film realiz profound wast save privat ryan under practic accept war occur great cost thin red line idealist avoid cost one messag necessarili more correct depend one point view malick film war set tropic paradis john toll cinematographi beyond lush set pose question fight face such beauti save privat ryan captur german soldier present moral quandari whether go thin red line japanes present moral quandari war first place american frighten angri griev pray separ war flaw thin red line come voiceov unbeliev come charact sometim pretenti sometim corni voiceov tell imag befor alreadi complet unnecessari dispens malick achiev tarkovskian grandeur instead distract selfconsci asid malick direct stun track shot windswept hill around transport speed toward shore extraordinari sean penn elia kotea nick nolt give best perform penn subtl sergeant tri hide human kotea genuin compassion captain nolt startl colonel whose blood vessel burst win battl john travolta georg clooney worst cameo role ultim thin red line interest charact drama frequent critic lack dramat structur malick clear differ thing mind one thought dramat entertain war exploit malick work theme thin red line provok,pos
cv109_21172.txt,pos,oliv stone natur born killer movi incendiari david cronenberg socal mainstream director repeat tipto fine line between point social commentari outright social irrespons fincher film never suffer lack shock valu major charact kill both alien seven fine exampl fight club mark distil pitchblack comed sensibl see game someth definit statement jack norton act both narrat protagonist typic cubicl clone whose disillusion amplifi seem incur insomnia offhand advic doctor sit grouptherapi session everyth blood parasit testicular cancer here meet bob marvin lee aday aka meat loaf canceremascul eunuch profound gynecomastia strang releas find sob bob breast allow sleep night until fellow grouptherapi tourist name marla singer carter come along ruin thing forc grudg compromis recal monti python dark hilar later meet tyler durden pitt soap salesman decid subvers outlook life one night ikea furnish condo explod dont ask youll see movi awright goad tyler fight damn doesnt feel good pure raw exist brief moment clariti purpos make dreari workaday life pale comparison move tyler squalid abandon mansion form titular organ underground therapi group men bond bareknuckl savageri veri few rule first two dont talk fight club arm charisma attract anticorpor philosophi tyler assum leadership burgeon membership whitecollar slave deadend mcemploye resent creep jack heart made wors fact tyler regular noisili bof hate marla fund frivol lawsuit tyler begin mold devote armi dedic mischief mayhem initi juvenil prank piss food put spike belt road quick evolv someth more sedit jack fear thing gone sour point plenti uncomfort wonder far fincher go someth origin film uncork disappoint plot twist contriv convent compar preced everyth follow includ end becom far less interest major though fatal flaw director notori unpredict fincher feel copout fight club go misconstru great mani peopl earli go downright danger feel seem violenc civil disobedi good soul undoubt messag few moron punk go take ill mightili surpris imit fight club dont spring up here ill even more amaz fincher isnt vilifi same humorless witchhunt current oliv stone neednt bother fight club less messag movi fincher elabor attempt joke tyler durden dionysian allur realli noth more logic far less hypocrit extrapol those selfhelp gurus constant show up oprah preach mefirst gospel selfactu context joke work latest columbin joke peopl enjoy good laugh wont hope though silli moral outrag wont spoil joke rest,pos
cv236_11565.txt,pos,jerri springer noth wild thing john mcnaughton new thriller tackl more tawdri theme less two hour springer notori sleazi talk show broadcast two week bisexu threesom poolsid catfight slutti rich bimbo even redneck gatorwrestl theyr part movi raucous complex storylin even trash tv topic cant drag wild thing down crazi campfest play someth youd find latenight usa network infinit more palat solid ensembl cast despit smatter needless scene sexual natur wick fun here wild thing guilti pleasur guilti feel involv good time high school guidanc counselor sam lombardo matt dillon welllik town blue bay especi pretti popular kelli van ryan denis richard whose famili name florida yacht enclav financi promin hope take crush physic level kelli seduct slink lombardo hous wash jeep fundrais veri next day tear admit trollop mother theresa russel rape befor long blue bay detect ray duquett kevin bacon gloria perez daphn rubinvega listen similar alleg kelli rebel classmat suzi toller neve campbel lombardo maintain innoc hire neck bracesport opportunist lawyer ken bowden bill murray defend court preview give away follow revel havent seen movi spot televis theater skip next paragraph crossexamin suzi wit stand bowden break down admit alleg rape never took place kelli concoct entir scheme angri lombardo sleep mother pay lombardo damag kelli mother break daughter trust fund give million lombardo kelli suzi actual work togeth plan take money run fast duquett perez begin suspect more afoot case fals accus major drawback wild thing oversex fault muchtalkedabout hotel room menageatroi between dillon campbel richard turnoff cut short sorri guy cut shorter movi grind halt pure titil onc dont see far more effect anoth exampl kevin bacon needless go full monti shower scene er thank bacon duquett feel simultan underdevelop overwritten daphn rubinvega broadway rent tri compens superflu charact theresa russel plain wooden end out open ask yourself certain scene involv three realli necessari keep movi throwaway junk engag chain surpris predict never seem end wild thing more twist crate full corkscrew gleefulli overthetop nasti cant help charm absurd showmanship great deal amus come watch bill murray support part appear written sli comed talent murray stitch especi pull up besid van ryan limo win lombardo case flip dont leav close credit hit screen youll miss film best part four bonus flashback smooth over plot hole offer few more tini turn plus final scene cap everyth great stunner bombshel speak bombshel denis richard play scene blue bikini top teen teas thing malici allur never allow flaunt starship trooper matt dillon flex sleepyvo sex appeal pull person chang chameleon precis neve campbel love except sport blond wig give suzi veng vulner make interest member conspir trio reedit tone down bit dynam between three actor carri film greater length given work well enough wild thing high entertain inde veri wild,pos
cv929_16908.txt,pos,one more unusu suggest violent film made seen few step away brillianc those few step away few step level evil deprav few peopl discuss film receiv mix review upon releas under sinist appeal intrigu mani critic perhap notic time preachi horror seem critic script ultim payoff excel shock conclus unpredict end film predict piec work intens uncomfort watch compel look turn away stori creep along slowli deliber craft visionari director david fincher experi tantal audienc inform vision give away much soon guy direct omin alien seen even more omin threat real human script take artist licenc way diabol killer work here actual realist human intellig patient wealthi disillus bizarr open credit ive seen refresh differ edit style music accompani initi charact develop take place morgan freeman star detect william somerset knowledg veteran readi give up job sick societi brad pitt costar detect david mill young hotshot brand new unnam citi full furi catch bad guy two fine actor give film human qualiti along appeal gwyneth paltrow play traci mill wife none stand out abov materi disrespect intend two actor play part film probabl same iron note somerset week seven day left forc train young proteg titl pictur refer dead sin chronicl john milton paradis lost gluttoni greed sloth lust pride envi wrath incident wrote sin order each victim found last two sin intrigu shock wont give away great end one spoil anyway brilliant killer set out make statement world sin longer toler make sinner suffer two partner stumbl over corps grotesqu obes man learn murderedforc eat himself death killer leav small clue murder cours somerset mill smart enough stay way didnt one short movi deliber pace allow craftsmanship detail stori see lot blood especi violent suggest happen far more disgust anyth actual shownlik violenc pulp fiction seen gori graphic disturb gore postdeath still tend queasi dont eat food dure film kevin spacey play john aveng angel claim hes messeng right wrong teach mani crazi men fine idea sick way express himself spacey doesnt appear until final minut doesnt receiv bill open credit appear turn film upsid down gotten oscar nomin great villain manag make root feel compel listen rambl regardless whether agre charact well written hard disagre rememb everyon serial killer creativ seen blatant unsubtl messag horror world littl depress lack those area make up believ dialogu topnotch screenwrit unexpect twist realist charact technic aspect film unobtrus fincher use light music edit quit well stori alway thrust film fortun dont find out happen mill somerset close credit run backward up screen better imagin path follow kind film turn away quick forget sinist messag john right one thingth evil world arent go cure themselv seen rais tough question intellig enough allow audienc answer mani those question themselv useless triviacostar seen brad pitt kevin spacey compet best support actor oscarpitt monkey spacey usual suspect won,pos
cv977_4938.txt,pos,richard gere one favorit actor courtroom drama film look good enough take chanc wasnt disappoint wasnt great film interest took sever unexpect turn one thing titl extrem forgett doesnt realli much film far determin long run probabl hurt film peopl wont think rememb martin vail richard gere grandios defens attorney love money fame go along defend success rich scum such mafia men drugdeal onc see accus killer promin chicago archbishop babyfac alter boy case presum press hell soon find out prosecutor assign former lover janet venabl laura linney vail himself former prosecutor quit tension between himself district attorney play veri well john mahoney frasier father tv seri under theme dichotomi movi peopl public face privat face see murder archbishop accus strong defens attorney martin vail richard gere fair good job first appear money attentiongrab lawyer consider truth see anoth side becom seeker justic come believ client alfr woodard judg capabl though somewhat wast standard role laura linney journeyman work noth spectacular accept relationship vail believ verbal fenc add film actor play vail investig unfortun dont rememb name quit good femal assist look veri familiar cant rememb ive seen capabl unspectacular best perform film edward norton excel timid altarboy turn alleg butcher boy st mike impress depth plot redher deadend lesser film lead predict end plot twist film took support charact thus give primal fear respect rate,pos
